Purchaser,Copies Ordered
Labour Party,2.0
Literary Book Co,2.0
"Broun, Hull",2.0
W. Heffer,2.0
Cape  ,2.0
Washington Bk Co,2.0
Maruzen,2.0
Wheaton,2.0
Whitcomb[e] & Tombs,2.0
McLeod,2.0
Willshaw,2.0
Seeber,2.0
Birrell & Garnet,2.0
Mothers' Union,2.0
Advertising Association,2.0
P. King,2.0
"Ward, F. J.",2.0
"Jarrold, Norwich",2.0
Protsthain,2.0
Jardine,2.0
Eason,2.0
F. J. Ward,2.0
Cooperative Wholesale Socy. [Society],2.0
W. George & Sons,2.0
Thacker,2.0
Galloway & Porter,2.0
Cleaver,2.0
Chivers,2.0
University Women's Camp. [Campaign ],2.0
Chelsea Book Club,2.0
H.K. Lewis,2.0
E. S. Fowler,2.0
Chaucer Lib.,2.0
Hachette,2.0
Stechert,2.0
J. McGrath,2.0
J. Clark,2.0
Jas. Smith,3.0
Eland,3.0
J. E. Cornish,3.0
George & Basson,3.0
J. Barker,3.0
Denny,3.0
Tanum ,3.0
Pembrey,3.0
MacKinlay ,3.0
Students Bookshop,3.0
"Boots, M'chester [Manchester]",3.0
MacGregor,3.0
Stevens & Brown,3.0
Student's Bookshop,3.0
Brierley,3.0
Mawson Swan,3.0
H. Cleaver,3.0
Students Bkshop,3.0
Jackson Wylie,4.0
Kundig,4.0
Dawson,4.0
Clark,4.0
Holmes,4.0
Pym & Chapman,4.0
W. & R. Holmes,4.0
News Bros,4.0
Dawsons,5.0
"Grants, Glasgow",5.0
Frenck Bkstore,5.0
B. H. Blackwell,5.0
Gordon & Gotch,5.0
Sweeter ,5.0
Hugh Rees,5.0
Darter Bros,5.0
Saxton,6.0
"Smith, Kensington",6.0
"Truslove, Oxford St.",6.0
Zwemmer,6.0
Fritze,6.0
Harrods,6.0
H. Marshall,6.0
Douglas & Foulis,6.0
Brunton,6.0
Hockliffe,6.0
"Menzies, Glasgow",6.0
Booklovers Library,6.0
Mudies Lib.,6.0
"Mezies, Edinburgh",6.0
Meulenhoff,7.0
Boots,7.0
Woolston,7.0
Darter,7.0
"W. H. Smith, B'ham [Birmingham]",8.0
Bickers,8.0
Argosy Library,8.0
Hudson,8.0
Opdenberg,8.0
L. C. C.,8.0
Marlborough,8.0
"Truslove, Clifford St.",9.0
Spencer,9.0
"Cornish, Manchester",9.0
Book Hunters,9.0
Book Lovers Lib.,9.0
"W. H. Smith, Paris",9.0
Clevedon,10.0
Dider,10.0
Lamley,10.0
Ramchandra Govind,10.0
"Truslove, Sloane St.",12.0
Maskew MiLLer,12.0
"Cornish, B'ham [Birmingham]",14.0
Moores Bookshop,15.0
Deighton Bell,15.0
"J. Smith, Glasgow",16.0
Jackson,18.0
"R. Grant, Edinburgh",18.0
Foyle,18.0
Low's Export,19.0
"Menzies, Edinburgh",20.0
Philip Son & Nephew,21.0
Galignani,22.0
Goulden & Curry,22.0
Bowes & Bowes,22.0
Heffer,22.0
Army & Navy Stores,24.0
Simpkin,26.0
Sherratt & Hughes,30.0
Mudies,32.0
Burtons,33.0
Book Socy. [Society],36.0
Blackwell,36.0
Irwin & Gordon,50.0
Book Society,66.0
Times,73.0
Hatchards,84.0
Bumpus,121.0
W. H. Smith,324.0
Simpkins,450.0
