Purchaser,Copies Ordered
Oxford Bk.+ Stat. Meerut,2.0
Mackinlay,2.0
Oxford Bk St Calcutta,2.0
Jackson Wylie,2.0
Warner,2.0
Elkin Mathews,2.0
"Warner's, Rome",2.0
Midland Ed. B'ham,2.0
"Warren, Houghton Mifflin",2.0
Everitt,2.0
Myrtle Fletcher,2.0
Mudies Library,2.0
Oxford B. & S. Maarut ,2.0
New School,2.0
Goulden Canterbury,2.0
Leroy Richardson,2.0
J. Thomson,2.0
J. L. Thompson,2.0
Hurleys,2.0
Hunter & Longhurst,2.0
Spottiswoods & Ballantyne,2.0
Jewish Natl Fund,2.0
Jimes,2.0
High Comm for N. Zealand,2.0
Stoneham,2.0
Karl Buchholz,2.0
"Glaisher, Wigmore St.",2.0
Kavanagh,2.0
Suxon & Parker,2.0
T. White,2.0
King,2.0
Rawlinson,2.0
Putnams,2.0
Potter,2.0
Poetry Bkshop Hull,2.0
Grants Glasgow,2.0
Grants,2.0
"Grant, Glasgow",2.0
Harrison,2.0
Hugh Rees,2.0
Hartley Seed,2.0
Burgess,2.0
Coppins,2.0
Cobden Sanderson,2.0
Bocca,2.0
Cornish M'chester,2.0
Darter,2.0
Cornish Bros.,2.0
"Davis, Melbourne",2.0
Cornish (B'ham),2.0
Alpha Bookshop,2.0
Dawson (Miss Baring),2.0
De Bar,2.0
"Dawson, Paris",2.0
Coop: Wholesale Socy,2.0
Cornish ,2.0
Brown,2.0
Brookes & Saville,2.0
Brooker & Sarille,2.0
Beazley (see 1099),2.0
Army,2.0
Allan Lockhart,2.0
Challenge,2.0
Army Export,2.0
D. Nutt,2.0
A. Probsthain,2.0
Bryce,2.0
Dunes,2.0
Cazenove,2.0
C. H. G. Wood,2.0
D. Wilson,2.0
Chandler,2.0
C. S. S. A.,2.0
Brunton,2.0
Argosy London,2.0
Caravan from OS.,2.0
Seeley,3.0
Miller,3.0
Cornish Bros,3.0
Satchell,3.0
Hills & Co.,3.0
"W. H. Smith, Sloane Sq.",3.0
Host,3.0
Robinson & Co. (see 11240),3.0
Midland B'ham,3.0
S. P. C. K.,3.0
Macleod & Young,3.0
Lib. Dub.,3.0
University,3.0
Medici Socy.,3.0
Menzies & Co.,3.0
Civil Service,3.0
Tyndale,3.0
"Truslove, Oxford St",3.0
Bk. Socy.,3.0
Richardson,3.0
Jardine,3.0
Roberts,3.0
Army & Navy Stores,3.0
Archer,3.0
Phillip,3.0
Robinson & Co.,3.0
W. C. Henderson,3.0
W. C. Henderson & Son,3.0
Swain,3.0
Midland Ed.,3.0
J. Miller,3.0
Anderson,3.0
"Cuthbertson, Melbourne",3.0
United Bk Stat,3.0
Whites,3.0
Bonine V. H.,3.0
Gibbs & Taylor,3.0
Georges,3.0
Galloway & Porter,3.0
Mudies M'chester,3.0
N. Z. Bk. Depot,3.0
Willshaw,3.0
Deweys Stores,3.0
Fred Wade,3.0
Franke for OS,3.0
Dickinson,3.0
Francke (see 15415),3.0
Bootk Sy,3.0
Ward A. B.,3.0
Dillon,3.0
Faist,3.0
Book Room,3.0
Oxford Bk. + Stat. Calcutta,3.0
Book Sy,3.0
Backus,3.0
Oxford B. & S. Calcutta,3.0
Parker,3.0
Wadley,3.0
Boots Society,3.0
Triad,3.0
Darby McDutyre,3.0
"Grants, Glasgow",3.0
Darter Bros,3.0
Tovery,3.0
Ancient,3.0
Tremayne,3.0
H. Young,3.0
Broadhurst,4.0
T. Adams,4.0
Sunday Times,4.0
"Howell, L'pool",4.0
Grants (Glas),4.0
Caravan,4.0
Seed & Gabbutt,4.0
Cleaver,4.0
Mowbray,4.0
Seafarers,4.0
Q. Edwards,4.0
Webber,4.0
Chelsea,4.0
Beazley (Churton St),4.0
Combridge Hove from OS,4.0
Smith Glasgow,4.0
"Midland, Leicester",4.0
Arnold,4.0
S. W. Sims,4.0
Davenant Bookshop,4.0
"Smith, Oxford",4.0
D. Bell,4.0
Beauchamp,4.0
Allan's,4.0
William George's Sons,4.0
P. S. King,4.0
Barker,4.0
Hockliffe,4.0
"Lothian, Melbourne",4.0
Butler,5.0
Eaton (Montreal),5.0
British Council,5.0
Eland,5.0
Bookhunters,5.0
Students Bkshop,5.0
Seeker,5.0
T. Eaton,5.0
Times (see 11241),5.0
Eaton (Winnipeg),5.0
Jameson,5.0
Sloane,5.0
Oxford Bk. & Stat. Co.,6.0
"Parr, Melbourne",6.0
United Bk + Stat.,6.0
Mudies (Bk. Dept.),6.0
Princes,6.0
Marshell,6.0
Moore's Book Shop,6.0
Meadows (Griffiths),6.0
Miller & Gill,6.0
Menzies Ediburgh,6.0
Menzies (Glasgow),6.0
Birrell & Garnett,6.0
Menzies (Edin),6.0
Birchall,6.0
Book Soc,6.0
Unicorn,6.0
