Purchaser,Copies Ordered
"Lewis, Hanley",2.0
W. H. Willshaw,2.0
Leatherhead,2.0
H.M. Gilbert,2.0
Frank Russell,2.0
H.L. Pithes ,2.0
Leatherhead Bkshop [Bookshop],2.0
Baker,2.0
Bandsley,2.0
Knights Library,2.0
Worthington,2.0
Beck Book Co.,2.0
Greig ,2.0
G. Philips,2.0
P. A. Andrews,2.0
"Lewis, Leeds",2.0
"Lewis, Glasgow",2.0
"Lewis, Birmingham",2.0
Grant Educ.  [Educational],2.0
Leonardo Art Shop,2.0
Phillip & Golden,2.0
Pembley,2.0
Kidd,2.0
Ken. Books,2.0
W. H. Smith. Kingsway,2.0
J. Lacker ,2.0
"Oxf. Bk. Stat. [Oxford Book Station], Simla ",2.0
MacDevitt,2.0
Iron,2.0
Ancient Home ,2.0
Int. [International] University Booksellers,2.0
James Bain,2.0
"Wilson, John",2.0
Wilding & Son,2.0
Hudson ,2.0
Alexander Brunton,2.0
McGrath,2.0
Angus,2.0
Horace Marshall,2.0
"Lewis, Leicester",2.0
"Hogarth Press, Farlham  St. [Street]",2.0
Medici Society,2.0
"Progressive Bookshop, Belfast",2.0
"A. Wilson, Vic. St. [Victoria Street ]",2.0
Lomesc ,2.0
Wells,2.0
Mueha ,2.0
Henderson,2.0
Myer's,2.0
New Books,2.0
Wadley,2.0
"Lewis, Manchester",2.0
"Lewis, Liverpool",2.0
Hogarth Press,2.0
W. T. & S. A. Freeman,2.0
Students,2.0
"W. H. Smith, R.A.C.",2.0
Unicorn ,2.0
Brown Mutt ,2.0
Broadhurst,2.0
Stechert ,2.0
Copland ,2.0
Roycroft,2.0
Stechert,2.0
Broadbent,2.0
Dhus ,2.0
S. Johnson,2.0
The Book Room,2.0
Bowes & Bowes from o/s,2.0
Coates. Bairstow,2.0
S. V. Galloway,2.0
Bowne ,2.0
Bowne & Str. ,2.0
"Collets, London",2.0
Scottish C. W. S.,2.0
"Collets, Manchester",2.0
Sesame,2.0
Socialist,2.0
"Smith, B'ham [Birmingham]",2.0
Brit. [British] Council,2.0
Chas. Wadley,2.0
Rawsons,2.0
Simms,2.0
"Bon Marche, Liverpool",2.0
Burnrides ,2.0
Students from o/s,2.0
"Stoneham, Liverpool St. [Street]",2.0
"Stoneham, Broad St. [Street]",2.0
Rama Krishna,2.0
Cazenove ,2.0
Sydney V. Galloway,2.0
Carrington,2.0
Chaplin's Library,2.0
Brumwell,2.0
Central Education,2.0
Rama Krishna ,2.0
A. Denny,3.0
Collets' Book Shop,3.0
Willshaw,3.0
Busley ,3.0
Kitabistan ,3.0
Burns Oates ,3.0
"Combridge , B'ham [Birmingham]",3.0
Christchurch,3.0
"A. Denny, Strand",3.0
A. Bloard ,3.0
Medici Galleries,3.0
Burgis  & Colbourne,3.0
(J. Clark 1 rtd.),3.0
"Brights, Bournemouth",3.0
Arcadian Book Co.,3.0
Midland Edu. [Education] Leicester,3.0
Sotheran ,3.0
Literature,3.0
Innes,3.0
James Gatt,3.0
Jackson Co.,3.0
MacDeirtt ,3.0
City Bk. [Book] Agency,3.0
J. Racker,3.0
Allan's Ltd.,3.0
Brown,3.0
Tarapurevala,3.0
Collets,3.0
Clegg,3.0
Jones. Davis ,3.0
Wittshaw ,3.0
Cassington,3.0
Sutton,3.0
Chas. T. King,3.0
Lows Bookstall,3.0
Coates & Bairstow,3.0
J. Backer,3.0
Allan,3.0
"W. H. Smith, Ealing Broadway",3.0
Sesame Bkshop [Bookshop],3.0
Grieg ,3.0
Hitchon,3.0
"Roberts, Kendal",3.0
P. S. King & Staples,3.0
Richardsons,3.0
Book Hunters,3.0
Grant Educat. [Education],3.0
Elton,3.0
Paul's Bk [Book] Arcade,3.0
"W. H. Smith, Richmond",3.0
Vanguard.,3.0
Beck Bk. Co. [Book Company],3.0
"W. H. Smith, Leeds",3.0
Phillip,3.0
Phillip Son,3.0
Pickering,3.0
Galloway,3.0
"W. H. Smith, Kensington Ct. [Court]",3.0
Power,3.0
Princes Bookshop,3.0
Friends' Bk. [Book] Centre,3.0
Friends Book Centre,3.0
Fred Wade,3.0
Fred Hanna,3.0
Victorial Plys ,3.0
Progressive Bkshop [Bookshop],3.0
Foyles,3.0
Rottey & Clark,3.0
Oxford Book,3.0
Roffey & Clark,3.0
Tyndales,3.0
Welwyn Stores,3.0
Fielder E. & W.,3.0
Craven,3.0
Webbenly,3.0
Thornton,3.0
Army & Navy Stores,3.0
Wards,3.0
Banks,3.0
Nutt ,3.0
Over,3.0
B. & S.,3.0
Saunders,3.0
S. P. C. Ld.,3.0
H. Walker,3.0
Haldane ,3.0
Hackliffe,3.0
"Book Room, Newcastle",3.0
Tovey,3.0
Tyndale,3.0
Pearse,4.0
Progressive Books,4.0
Modern. [Modern Books ],4.0
Story ,4.0
Slatter & Rose,4.0
Stanley,4.0
Ram Krishna,4.0
Myer Emporium,4.0
Winterburns ,4.0
Vic. Railway,4.0
Seed & Gabbutt,4.0
Trent County Supplies,4.0
Wand & Yates,4.0
Sweeter,4.0
