Purchaser,Copies Ordered
W. H. Smith Paris,2.0
Tanner,2.0
Robbers,2.0
"Oxford Bx Co, Simla",2.0
Times,2.0
Pym & Chapman,2.0
W. H. Smith Str. Ho.,2.0
Ward F. J.,2.0
Stechert,2.0
Sloane Bookshop,2.0
Truslove & Hanson,2.0
Shakespeare,2.0
Penny & Co,2.0
"J. Menzies, G'gow",2.0
E. H. Jackson,2.0
C. Chivers,2.0
Fritze,2.0
Burtons,2.0
Hugh Rees,2.0
Burgersdijk & Neirman,2.0
"Combridge, New St.",2.0
Cornish,2.0
Grants Glasgow,2.0
Cornish B'ham,2.0
Combridge B'ham,2.0
F. Ward Oxford,2.0
F. J. Word,2.0
F. J. Ward,2.0
"Jarrold, Norwich",2.0
B. H. Blackwell,2.0
Cleaver,2.0
Maruzen,2.0
M. Miller,2.0
Dawsons,2.0
Gilbert,2.0
Darter Bros,2.0
C. M. S.,2.0
Smith & Dawson,3.0
Eland Bros,3.0
Short,3.0
Soundbergs Bodhandel,3.0
Wheaton,3.0
Whitby,3.0
Cleverdon,3.0
Birrell & Garnett,3.0
Mawson Swan,3.0
Anderson,3.0
W. F. Henderson,3.0
Goulden & Curry,3.0
Bookworm,3.0
W. Thacker,3.0
J. Heywood,3.0
Holmes,3.0
Dixon,3.0
J. Menzies,3.0
Denny,3.0
Bonds Book Co,4.0
Walker,4.0
W. H. Smith (Paris),4.0
Sloane,4.0
"W. H. Smith, H'dn",4.0
Thacker,4.0
J. Thornton,4.0
"Oxford Bk Co, Calcutta",4.0
Hachette,4.0
Poetry Bookshop,4.0
Mullers,4.0
Quaritch,4.0
J. Smith,4.0
Marlborough,4.0
Foyle,5.0
Opdenberg,5.0
A & N Stores,5.0
Stevens & Brown,5.0
Mudies Library,6.0
Brentano's,6.0
Whitcomb & Tombs,6.0
W. H. Smith Bk,6.0
J. Chadwick,6.0
K. C. C. Stores,6.0
Do,6.0
Bermutt & E,6.0
Preece F. W.,6.0
Army & Navy Stores,6.0
Edwards,6.0
Frealy's B'shop,6.0
Army & Navy,7.0
Clark,7.0
H. Rees,7.0
Meulenhoff,7.0
"Oxford Bk Co, Delhi",7.0
Jackson,8.0
Walker Bros,8.0
Galignani,8.0
Brentanos,8.0
Argosy Library,8.0
Douglas & Foulis,8.0
Boots,9.0
Heffer,11.0
Bowes & Bowes,12.0
Bickers,12.0
Maruzen Co,13.0
Low's Export,18.0
"W. H. Smith, Paris",23.0
W. Jackson,24.0
Whitcombe & Tombs,24.0
Simpkin,30.0
Preece,30.0
Mudies,34.0
Gordon & Gotch,35.0
J. Clark,44.0
Hatchards,45.0
Times Bk Co,48.0
Blackwell,51.0
Simpkin Marshall,82.0
Bumpus,94.0
Angus & Roberston,100.0
W. H. Smith,134.0
W. H. Smith (from O/S),158.0
Simpkins,323.0
