Purchaser,Copies Ordered
Nordiska Komp,2.0
George's Sons,2.0
Nation,2.0
Poetry Bookshop,2.0
Cargills,2.0
Reitzel,2.0
Grant's ,2.0
H. K. Lewis,2.0
Nutt,2.0
Philip Son,2.0
Oxford Bk & St. Co. Calcutta,2.0
Oxford Bk & St. Co. Delhi,2.0
Payot,2.0
Cleaver,2.0
Birrell & Garnett (Ritchie),2.0
Oxford Book-Simla,2.0
Gollets,2.0
Haine,2.0
Mitsukshi,2.0
Halls Bookshop,2.0
J. Miller,2.0
J. Thompson,2.0
J. V. G. Jenner,2.0
Butter,2.0
Cazenove,2.0
"Jackson, Yorks",2.0
James Smith,2.0
Jardine,2.0
Jarrold,2.0
Jas. Smith,2.0
Kent & Richards,2.0
King,2.0
Hill & Churchill,2.0
Muller,2.0
Library Minerva,2.0
Henry Young,2.0
Buckland,2.0
Century Bookshop,2.0
Brunton (Kennedy) ,2.0
"Brown, Hull",2.0
Brookes & Saville,2.0
Mackinlay,2.0
Macleod & Young,2.0
Maggs,2.0
Ballantyne,2.0
"Cornish, B'ham",2.0
Harris & Wright,2.0
Hanna,2.0
Century Book Club,2.0
Rota,2.0
George & Son,2.0
Combridge B'ham,2.0
T. E. Cornish,2.0
T. Whites,2.0
Alpha Bookshop,2.0
Rowell,2.0
Coop Wholesale Bristol,2.0
Van Stockman,2.0
Dunes & Macgregor,2.0
Allan Lockhart,2.0
W. H. Barrett,2.0
W. H. Smith (Putney),2.0
W. H. Smith (appro),2.0
W. H. Smith - Stratford,2.0
T. Adams,2.0
W. H. Smith B'ham (Kennedy),2.0
W. H. Smith Cheltenham,2.0
W. H. Smith H'gate,2.0
"W. H. Smith, Kingston",2.0
A. Probsthain,2.0
Whitby,2.0
A. H. G. Davidson,2.0
Dawson Export,2.0
Cornish Birm,2.0
Davenant B'shop,2.0
"Wilson, Norberry",2.0
Daily Telegraph,2.0
Woolston Book Co,2.0
Denny Miss R.,2.0
Argus S. African Newspp.,2.0
Capell (Ritchie),2.0
Sifton Praed,2.0
Army & Navy Export,2.0
Sanders ,2.0
Art Book Store,2.0
Smith & Dannen,2.0
Stanies,2.0
S. Smith (Lincoln),2.0
Baker,2.0
F. Hanna,2.0
Sesame Bookshop,2.0
Sundial Ltd.,2.0
Army & Export Agency,2.0
Galloway & Porter,2.0
Burns Gates,3.0
Ward (12631),3.0
Welyn Stores Ltd,3.0
Butler,3.0
Satchell,3.0
Kurt Sancke,3.0
Putnam's,3.0
W. Kidd,3.0
Jacksons,3.0
Rees,3.0
A. B. Ward,3.0
Willshaw (Kennedy),3.0
"A Brown, Hull",3.0
S. P. C. K. ,3.0
J. Smith London,3.0
Woolston Bk. Co.,3.0
J. Baker,3.0
Beazley,3.0
Seafarers,3.0
Book Hunters,3.0
W. H. Smith Newbury,3.0
Bonine & Holl,3.0
Argus S. African Newspaper,3.0
Mudies Manchester (Kennedy),3.0
Ms. Label,3.0
Mrs. Nicolson (Curtis Brown),3.0
Thin (Kennedy),3.0
Mortons,3.0
Ancient,3.0
Students Bookshop (Ritchie),3.0
Truslove Sloane St.,3.0
Stoneham,3.0
Bowes & Boews,3.0
Trusolve Clifford St.,3.0
Steven & Brown,3.0
Standard Bk Stall,3.0
Smith Reading,3.0
Smith Cirencester,3.0
B. H. Blackwell,3.0
Literary (Ritchie),3.0
W. H. Smith Cerincester,3.0
Backus,3.0
W. H. Smith Oxford,3.0
Boots Manchester (Kennedy),3.0
"Cornish, Manchester (Kennedy)",3.0
Harpers,3.0
Eland Bros,3.0
Dawsons (Paris),3.0
Day & Bath,3.0
Cedric Chivers,3.0
Combridge B'ham (-1751- Kennedy),3.0
Combridge Birmingham,3.0
Friends Bookshop (Ritchie),3.0
Foyles,3.0
"Combridge, B'ham",3.0
Dickinson,3.0
Dickinson ,3.0
Cornish (Manchester) 1st Ed.,3.0
Central Ed. Co,3.0
Cornish (B'ham),3.0
Fowler,3.0
G. Phillip,3.0
Eland (L. S. W.),3.0
Cargills (see 196),3.0
Gargills,3.0
George & Barron,3.0
H. Young,3.0
Civil Stores,3.0
Glaisher Holborn (Ritchie),3.0
"Grants, Glasgow (Kennedy)",3.0
"Glaisher, Wigmore St",3.0
Chelsea (Ritchie),3.0
Cornish B'ham (Kennedy),3.0
D. Bell,3.0
Anderson,4.0
Burma Book,4.0
Mrs. MacGregor,4.0
"Combridge, Hove ",4.0
Ruddocks,4.0
Faist,4.0
Chivers,4.0
Army Export,4.0
Potter,4.0
Beauchamp BK.,4.0
Sipmkin Marshall,4.0
Messajeuts Dawson,4.0
Quaritch,4.0
Boots ,4.0
Shakespeare,4.0
Brown Hull,4.0
Dy. Telegraph,4.0
W. Dawson,4.0
Hyndman,4.0
Wm. Jackson,4.0
Williams,4.0
Davenant (see 2),4.0
A. Robinson,4.0
Wadley,4.0
Whiteley's,4.0
Sawyer,5.0
Brierley,5.0
Jackson Wylie,5.0
Marshall Field,5.0
Seeber,5.0
"Dawson, Paris",5.0
R. Jackson,5.0
