Purchaser,Copies Ordered
Allan's,2.0
John Read,2.0
Lewis's,2.0
Army & Export,2.0
H. J. Goulden,2.0
Winterbrana,2.0
Mowbray,2.0
Hama,2.0
Hadley Bkshop,2.0
Wood Bunbury Aust,2.0
W. H. Smith B'ham,2.0
Vaughans from O. S.,2.0
Bell,2.0
Lewis,2.0
A. Wheaton,2.0
Mr. Davidson,2.0
"Truslove, Clifford",2.0
Handleys,2.0
M. Davidson ,2.0
Miss McMullen,2.0
W. J. Bryce,2.0
"Warren, Houghton & Mifflin",2.0
"Warren's, Rome",2.0
J. Baker,2.0
J. CLark (H.P.L.C.),2.0
Arts League,2.0
Indian Bkshop,2.0
J. G. Commin,2.0
Hudson ,2.0
McGregor,2.0
"Howell, L'pool",2.0
Medici,2.0
Whites,2.0
Medici Shop,2.0
Ward & Yates,2.0
Marwzen,2.0
Hockliffe,2.0
J. Smith (Glasgow),2.0
B. B. C.,2.0
William George's Sons,2.0
Hendersons,2.0
Miss H. Beuson,2.0
Mackinlay,2.0
Backers,2.0
Macgregor,2.0
James Bain,2.0
Hatchette,2.0
J Smith,2.0
Angls Egyptian Bkshop,2.0
WH Smith,2.0
Mlle. Mantoy,2.0
Truslove & Hanson,2.0
Taraporevala,2.0
Treves Treccani Tumminelli,2.0
"Dawson, Paris",2.0
Cazework,2.0
Poetry Bookshop,2.0
Denny (Qu. Vic. St),2.0
Shathmore,2.0
Cambridge Bkshop,2.0
Poetry B'shop,2.0
Plaisher Holborn,2.0
Dowhip,2.0
Dunes,2.0
People's Library,2.0
Grants  ,2.0
Payot,2.0
Edwards,2.0
"Smith, Paris",2.0
Elder,2.0
Oxford Book & Stat Calc,2.0
Probsthain,2.0
Brown Hull,2.0
Sesame,2.0
Q. Edwards,2.0
Clark (215 H.P.C.),2.0
Cleaver,2.0
Cleaver (see 577),2.0
Cobden Sanderson,2.0
Combridge,2.0
Combridge Hove,2.0
S. Smith (Lincoln),2.0
Chivers (1 only supplied),2.0
Ramchandra,2.0
Chiras,2.0
Curtis Brown,2.0
Chelsea  ,2.0
"Chaucer Lib, Melbourne",2.0
Quota Press,2.0
Chatto ,2.0
Chas Serbues,2.0
Quantch,2.0
Davenant Bookshop,2.0
Evans,2.0
Burton,2.0
"Glaisher, Holborn",2.0
George's Sons,2.0
"Mudies, M'chester",2.0
Gebretten & Wolff,2.0
Galloway & Porter,2.0
Gin Geo. Duckworth,2.0
Glaisher,2.0
Clark (5 MKSP),2.0
T. C. Allan,2.0
Book Hunter,2.0
Bookroom (see 68),2.0
Goulden Canterbury,2.0
Tammin,2.0
Nonesuch,2.0
Boots Nottpham,2.0
Spur & Swift,2.0
Mrs. A. C. Taylor,2.0
Spottiswoode,2.0
Broadway,2.0
Oak Bay Lendigh,2.0
Bocca,2.0
Other Shop,2.0
Oxford B St Calcutta,2.0
First Edition,2.0
Fabian,2.0
Spencer & Co.,2.0
Brown,2.0
Tamwen,2.0
Goulder & Curry,2.0
Everitt,2.0
Seeley,3.0
Redway,3.0
Midland Ed B'ham,3.0
Thames Bookshop,3.0
Sach,3.0
Wm. George's Sons,3.0
Leroy & Richardson,3.0
Seeker,3.0
"Truslove, Oxford St.",3.0
Satchell,3.0
Rogers,3.0
Sach (see 2606),3.0
Macniven & Wallace,3.0
Selfridges,3.0
Midland,3.0
"Parr, Melbourne",3.0
Nutt,3.0
Smith  ,3.0
Sloane,3.0
Walker,3.0
Sweeton,3.0
T. Adams,3.0
Webberley,3.0
W. Jackson,3.0
Sesame Shop,3.0
Potter,3.0
T. C. Allen,3.0
New Statesman,3.0
W. C. Henderson,3.0
Mr Biddell E Counter Lib,3.0
R & R Clark,3.0
Willshaw,3.0
Poetry Shop Hull,3.0
J. Miles,3.0
Lade & Co.,3.0
Hills,3.0
Heinemann,3.0
Hamma,3.0
Grant Glasgow,3.0
Gibson,3.0
Georges Sons,3.0
Fowler,3.0
Eaton,3.0
Dyer,3.0
Dowling,3.0
D. Spencer,3.0
"Cuthbertson, Melbourne",3.0
"Cornish, M'chester",3.0
"Combridge, B'ham",3.0
Hills & Co,3.0
Chandlers,3.0
Butler,3.0
Brunton (see 391),3.0
Brunton (see 3528),3.0
Brown & Browne,3.0
Book Soc. ,3.0
Bland (Arnold),3.0
Beauchamp,3.0
Banks from OS,3.0
Baker's Bookshop,3.0
B. Roha,3.0
Army & Export ,3.0
Archer,3.0
Akateeninem,3.0
Akateeminen Kirjakauppa,3.0
Central Ed. Derby,3.0
Hodges Figgis,3.0
Combridge B'ham,3.0
Jarrold Norwich,3.0
J. L. ,3.0
James Smith,3.0
Jarrold  ,3.0
Davenant,4.0
Greene,4.0
"Grants, Glasgow",4.0
