Purchaser,Copies Ordered
Richardson & Co,2.0
Whiteley,2.0
Int. Univ. Bks. [International University Books],2.0
International Bk Service,2.0
James Bain,2.0
James Baird,2.0
h. b. Saxton,2.0
Wm. Dawson,2.0
Winterburns,2.0
Karl Buchholz,2.0
"Wilson, Hampstead fr. OS.",2.0
"Wilson, H.",2.0
"Wilson, D.",2.0
Kirbergers Kesper,2.0
Kirjakauppa,2.0
"Wilson, A., (Hamp)",2.0
Willshaw,2.0
L.N.U. Bookshop,2.0
Labour Party,2.0
Wilding,2.0
Whiteleys,2.0
Whitehead,2.0
Wimbledon Bookshop,2.0
Meadows,2.0
"Waugh, R.",2.0
N. J. Gumperts ,2.0
"Smith, W. H. (Bristol) [W. H. Smith]",2.0
Norwood,2.0
"Smith, J., Glasgow",2.0
"Sleint, Clarke",2.0
Skandinavisk Bokimport,2.0
Oxford Book & Stat: (Calc) [Calcutta],2.0
Oxford Book & Stat: (Calcutta),2.0
Sesame Bookshop,2.0
Oxford Book & Stat: (Meerut),2.0
Oxford Book & Stat: (Simla),2.0
Sen Bros.,2.0
Seeley,2.0
Oxford Univ: [University] Press,2.0
P. & G. Wells,2.0
"Parker, Oxford",2.0
Seed & Gabbutt,2.0
"Pembrey, J. J.",2.0
S. T. Exhibition,2.0
Penton Publishing Co.,2.0
Peoples Bookshop,2.0
Rudolf Lamm,2.0
"Potter, Wm.",2.0
Putteney Bookshop,2.0
Robbers,2.0
"Smith, W. H. (Finchley Road) [W. H. Smith]",2.0
Lauffer fr. OS.,2.0
"Smith, W. H. (Maidstone) [W. H. Smith]",2.0
"Smith, W. H. (York) [W. H. Smith]",2.0
"Walker, Leeds",2.0
Lewis's Hanley,2.0
"W. H. Smith, Richmond",2.0
Literature,2.0
W. H. Everett,2.0
Macmillan,2.0
Van Stockum,2.0
"Truslove & Hanson, Sloane St.",2.0
Martinus Nijhoff,2.0
"Mathews [Matthews], Elkin",2.0
Trout OS.,2.0
McLeod,2.0
Thornton,2.0
"Midland Ed. [Education] Co., Leicester",2.0
Minchin & Gibbs,2.0
Th. Lauffers Bookshop,2.0
Tanam,2.0
Swift,2.0
Stuttaford,2.0
Story,2.0
Spottiswoode Ballantyne,2.0
Southern Trade,2.0
Socialist Bookshop,2.0
Mitzukoshi,2.0
"Smith, Wm.",2.0
"Smith, W. H. (Salisbury) [W. H. Smith]",2.0
Pickering,2.0
"""Lea U d""  ",2.0
Bookshop,2.0
"Harrods, B. A.",2.0
"Collets, Cardiff",2.0
Epworth Press,2.0
Beazley,2.0
Elm Hill Bookshop,2.0
Ells,2.0
"A. Wilson, Gracechurch St.",2.0
Abbey Book Shop,2.0
Elkin Mathews [Matthews],2.0
E. Story,2.0
"Harkness, J.",2.0
Argus Sth. African Newsp. [South African Newspaper],2.0
"Book Room, Newcastle",2.0
"Cornish, Holb. fr. OS.",2.0
"Cornish, London",2.0
Alfred Wilson (Hampstead),2.0
Court News Agency,2.0
Architectural Press,2.0
George Downe,2.0
George Henry,2.0
Daily Telegraph,2.0
"Darter , Capetown",2.0
"Darter Bros., Cape Town",2.0
"Grant, Glasgow",2.0
Dolphin Bookshop,2.0
Didier,2.0
"Allen, E. G.",2.0
Biddles,2.0
Cleverdon [Clevedon ],2.0
Brentano's,2.0
"Baker, John",2.0
Bardsley,2.0
Chatto & Windus,2.0
Henry B. Saxton,2.0
Central Edu. [Education] Co.,2.0
Chivers,2.0
"Fritze, C. E.",2.0
"Henderson, W. F.",2.0
Circulating Library,2.0
Bucks Library,2.0
"Henderson, W. C.",2.0
Clark,2.0
Anvil Bookshop,2.0
"Birchall, A. W.",2.0
Fowler,2.0
"Hills & Co, Sunderland",2.0
"F. J. Ward, Brighton fr. OS.",2.0
"Bookshop, Hull",2.0
F. J. Ward (Brighton),2.0
F. H. Swift,2.0
Flaxmann Bookshop,2.0
"Cleaver, H.",2.0
"Smith, W. H. (Newbury) [W. H. Smith]",3.0
"Midland Ed. Co., B'ham [Birmingham]",3.0
"Midland Ed. Co, Leicester",3.0
Dicks & Co.,3.0
"Bookshop, East Grinstead ",3.0
Oxford Book & Stat: (Lahore),3.0
Foyles (Dept 23),3.0
Donal MacDevitt,3.0
Flaxman Bookshop,3.0
Dophin,3.0
"Fowler, E. S.",3.0
Dowlings Bookshop,3.0
"F. W. Preece, Adelaide",3.0
Eason,3.0
New Books,3.0
Naville,3.0
Euro-American,3.0
"Denny, Qu: Vic. St. [Queen Victoria Street]",3.0
Mrs. MacGregor,3.0
Strathmore Bookshop fr. OS.,3.0
Bibliophile,3.0
Jenners ,3.0
Patterson's Library,3.0
"Sawyer, Chas.",3.0
Seafarers Ed. Service,3.0
Clarke & Satchell,3.0
Seeleys Library,3.0
Soudier,3.0
"Brown, Hull",3.0
Champion,3.0
Central Education Co.,3.0
Cazenove,3.0
Bryce fr. OS.,3.0
"Barker, John",3.0
Cammermeyers,3.0
"Smith, W. H. (Cheltenham) [W. H. Smith]",3.0
"Smith, W. H. (Kingsway) [W. H. Smith]",3.0
"Smith, W. H. (Richmond) [W. H. Smith]",3.0
Batchelor,3.0
"Bryce, W. J.",3.0
Combridge (Hove),3.0
Army & Export,3.0
"Combridge, Birmingham",3.0
Roycroft Library,3.0
Stoneham,3.0
Pauls Bk Arcade,3.0
Davis,3.0
David Jones,3.0
Askew,3.0
"Ward, A. B.",3.0
Phoenix,3.0
Austral Library,3.0
Brierley OS.,3.0
