Purchaser,Copies Ordered
Christian Lit. Socy.,2.0
China Booksellers,2.0
Miss Murphy,2.0
Methodist Book Depot,2.0
Cambridge Magazine,2.0
Matthews & Brooke,2.0
"Mawson, Swan & Morgan (see 113)",2.0
Meulenhoff,2.0
Saxton,2.0
Nancy Cunard,2.0
A. & N. [Army & Navy] Export,2.0
World's Arn Green  ,2.0
World Ass. [Association],2.0
World Ass [Association],2.0
A. & N. [Army & Navy] Stores,2.0
W. H.Smith,2.0
"W. H. Smith, Southport",2.0
Truslove,2.0
Army & Export Buying Agency,2.0
Arthur Rogers,2.0
Thacker,2.0
Students' Bookshop,2.0
Bryane & Raibibraw ,2.0
Barker B'shop,2.0
Sotheran,2.0
Simpson & Dickens,2.0
Seeber B. ,2.0
Seeber ,2.0
S. A. Sydney - Turner,2.0
Rowlatt & Moore,2.0
Roberts,2.0
R. Grant & Son,2.0
Book Hunters,2.0
Book Room,2.0
P. S. King,2.0
Opdenberg [transferred to Uniform Edition ],2.0
Stechert,2.0
"Combridge, Birmingham",2.0
French B'store,2.0
J. Thornton,2.0
John Menzies,2.0
D. Wilson,2.0
John Smith,2.0
Glaisher,2.0
Frauche ,2.0
J. Chadwein ,2.0
Davenant B'shop [Bookshop],2.0
"Howell, Liverpool",2.0
J. Watch & Sons,2.0
D. Clevedon,2.0
"J. Menzies, E'bro [Edinburgh]",2.0
G. Bill (pp),2.0
"Glaisher, Holborn",2.0
Hockliffe,2.0
Grolier Soc.,2.0
Heinemann,2.0
H. Rees,2.0
Edwards,2.0
Eason,2.0
"Combridges, Hove",2.0
Friends' Bookshop,2.0
"Hodges, Figgis",2.0
Parr,3.0
Davenant Bookshop,3.0
Bland,3.0
A. H. G. Davidson,3.0
Parker & Son,3.0
Jackson Wylie & Co.,3.0
Willis,3.0
Selfridges,3.0
J. E. Cornish ,3.0
"Glaisher, Wigmore St.",3.0
Flick & Corcter ,3.0
Better Books,3.0
Beazley,3.0
"Holmes, Glasgow",3.0
Spencer,3.0
"Grants, Glasgow",3.0
Beauchamp Book Club,3.0
Harrods (Book Dept.),3.0
Eason & Son,3.0
Birrell & Garnett ,3.0
Bowes & Bowes (see 112),3.0
"Truslove, Oxford St.",3.0
Lady O'Morrell,3.0
Meulenhoff ,3.0
Maggs,3.0
Mrs. Spring-Rice,3.0
Galloway & Porter,3.0
James Thin (see 45),3.0
Masterman,3.0
Maruzen Co. ,3.0
James Thin (see 279),3.0
W. Jackon,4.0
Rees,4.0
Clark,4.0
"W. H. Smith, Birmingham",4.0
J. Smith,4.0
Cedric Chivers,4.0
Sloane Bookshop,4.0
W. Thacker,4.0
International Bookshop,4.0
Cornish Brothers,4.0
"J. Smith, G'gow [Glasgow]",4.0
Asher,4.0
Low's Continental,4.0
Jackson,4.0
Army & Navy Export,4.0
Philip Son & Nephew,4.0
"Simpkin, Marshall (Export Dept.)",4.0
J. Thornton & Son,5.0
Walden Bookshop (1st ed.),5.0
Hugh Rees,5.0
Elkin Matthews,5.0
Wilson,5.0
James Smith,5.0
"Menzies, Edinburgh",5.0
Hatchard,5.0
J. Clark (2nd Edition),5.0
W. F. Henderson,5.0
Darter Bros.,5.0
Harrods (Buenos Aires),5.0
Hachette,5.0
Chivers,6.0
"W. H. Smith, Kensington",6.0
Cope & Fenwick,6.0
K. C. C.,6.0
"Truslove, Sloane Street",6.0
Times Book Club (Export),6.0
Clevedon,6.0
Army & Export,6.0
"Truslove & Hanson, Clifford St.",6.0
W. Jackson (1st ed.),6.0
"Preece, Adelaide",6.0
James Bain,6.0
Days Library,6.0
"Mudies, Manchester",6.0
Jones & Evans,6.0
Foyle,6.0
Woolston Book Co.,6.0
Chaundy,6.0
Broadhurst,6.0
John Clark (see 307) & 996,6.0
J. Dickinson,6.0
"Glaisher, Wigmore  St.",6.0
Princes Bassiano,6.0
Blackwell (see 97),6.0
Darter,7.0
Henry Young,7.0
Brentanos,7.0
Goulden & Curry,7.0
Cambridge Magazine Bookshops,7.0
Bain,7.0
Ramchandra Gormid,8.0
Galignani,8.0
Oxford Book & Stationery co.,8.0
Lows Export,8.0
K. E. C. Stores,8.0
Denny,8.0
Chelsea Book Club,8.0
Lamley,9.0
Poetry Bookshop,9.0
W. & R. Holmes,9.0
"Jackson, Wylie",9.0
"John Smith, Glasgow",10.0
T. Eaton Co.,10.0
"Truslove, Sloane St.",11.0
Argosy Library,11.0
Shakespeare & Co.,11.0
"Brentano's, Paris",12.0
"Simpkin, Marshall (Export Grade Dept.)",12.0
W. H. Smith (Library),12.0
Times Book Co. (Export),12.0
John Clark (see 961),12.0
"Simpkin, Marshall (Overseas Agency)",12.0
Bickers,13.0
W. Jackson,14.0
"Combridge, B'ham [Birmingham]",14.0
B. H. Blackwell,14.0
John Clark,14.0
Sherratt & Hughes,16.0
Stevens & Brown,18.0
"Truslove, Clifford St.",18.0
BiRRell & Garnett,20.0
Dulan,20.0
Day's Library,22.0
"Deighton, Bell",23.0
"W. H. Smith, Paris",23.0
J. Clark,23.0
Zwemmer,24.0
Cunard Steamship Co.,24.0
Shakespeare,27.0
Birrell & Garnett,28.0
Times Book Club,28.0
Whitcomb & Tombs,29.0
Heffer,30.0
Harrods (Library Dept.),31.0
Douglas & Foulis,32.0
F. Henderson,32.0
Times,33.0
