Purchaser,Copies Ordered
Freeman,1.0
Galloways Porter,1.0
Gilson,1.0
Greene,1.0
Florida,1.0
H. G. Lewly,1.0
H. M. Stetimeny,1.0
Johnstone,1.0
Golden,1.0
Fletcher,1.0
Dilke,1.0
Educational,1.0
Kemsley,1.0
Davis,1.0
Centaur,1.0
Celtic,1.0
Cape,1.0
Cagenove,1.0
Cafe,1.0
Burliny Tin,1.0
Brownside,1.0
Browne Golem,1.0
Educational  ,1.0
Knights,1.0
Mewson Swan,1.0
Brosker & Sarle,1.0
York Penny,1.0
Worthington,1.0
Winterbrews,1.0
Watts,1.0
Watkins,1.0
W. E. H.,1.0
W. E. G.,1.0
Tehwella,1.0
Taylor & Combridge,1.0
Tammin,1.0
Sykes,1.0
Stockford,1.0
Southeran,1.0
Robertson & Mullens,1.0
Radio Library,1.0
Pugh,1.0
Pickering,1.0
Penny,1.0
Oxf Univ Press,1.0
Ormes,1.0
Nutt,1.0
Nolan,1.0
Nassane,1.0
Naggs,1.0
Mowbray,1.0
McGauless,1.0
Bostock,1.0
Lehmann,1.0
smith,1.0
B. B. C.,1.0
Amalgamated Press,1.0
Bardsley J. A. ,1.0
Bisset,1.0
Moores,2.0
Meyer,2.0
Menzies  ,2.0
MacGregor,2.0
Lodge Lyhefor,2.0
J. Barid,2.0
Haltan,2.0
H. Hill,2.0
Greyson,2.0
Glaisher,2.0
Galloway & Polis,2.0
Galloway & Hodgson,2.0
Foward,2.0
L. C. C.,2.0
Baker,2.0
Office Supply,2.0
Potter,2.0
Abraham,2.0
Williams,2.0
Allen,2.0
Tripathi,2.0
Taylor & Colbridge,2.0
Tasmania,2.0
New Statesman,2.0
Armstrong,2.0
South's,2.0
Smith Northwood Hills,2.0
Smith Kiddermenster,2.0
Sexton,2.0
Rawlinsons,2.0
Rawlinson,2.0
Swain,2.0
Faber & Faber,2.0
Mc Dougal,2.0
Bragelleina,2.0
Thornton,3.0
Thurmann,3.0
Hodges Highfoot,3.0
Book Depot,3.0
Fords,3.0
Nedica,3.0
Bissett,3.0
New 8th Wales,3.0
Ferugson,3.0
Ferguson,3.0
Smith Hendersfield,3.0
Hall,3.0
Edwards,3.0
Educational Supply,3.0
Newmayer,3.0
Educ. Supply,3.0
Sweeter,3.0
Wade,3.0
Dunn & Wilson,3.0
Hartly Seed,3.0
Hitchin,3.0
Brunton,3.0
University Book Co.,3.0
McGrathams,3.0
Grieg,3.0
McLarins,3.0
Simpkin ,3.0
Kitabistan,3.0
Gloom,3.0
Meneith,3.0
Kingsgate Press,3.0
Broadberts,3.0
Halls,3.0
Methodist,3.0
Bardsley,3.0
Bromley,3.0
Gutmire,3.0
Univeristas,3.0
Miles,3.0
Gardenen,3.0
Kealy's,3.0
Hill & Churchill,3.0
Calpills,3.0
Bennett,3.0
Hallwood,3.0
McGills,3.0
Thompson,3.0
Oldham,3.0
Rubin,3.0
Coates & Barish,3.0
Lodge & Lightfoot,3.0
Adams ,3.0
Int. Univ. Booksellers,3.0
Robbens,3.0
Progressive  ,3.0
Chris,3.0
Librarie  ,3.0
Wylie,3.0
Chaucer,3.0
Austrial,3.0
Burns Oates & Wash Dorme,3.0
Quatch,3.0
Athenasam,3.0
Harding,3.0
"Smith, Victoria Local",3.0
Rawson,3.0
Whitcombe  ,3.0
Smith York,3.0
Collets Glasgow,3.0
Sawyer,3.0
Sadler,3.0
Pattermo,3.0
Avery,3.0
Pearpe,3.0
Dartel,3.0
Jenners,3.0
Smith Wowerhampton,3.0
Brown Maft,3.0
Oxford  ,3.0
People's ,3.0
Russell,3.0
Hollenet's,3.0
Phillipson & Golden,3.0
Oval,3.0
Bargess,4.0
Anglo. Egypt,4.0
Owen,4.0
Bell,4.0
McLeod's,4.0
Ancient,4.0
Woolf,4.0
New Book.,4.0
Wehyn,4.0
Pembrey,4.0
Garlick,4.0
Idendan,4.0
Coop,4.0
Hillen,4.0
Hills,4.0
James Stan,4.0
Bauermeister,4.0
Nolanela,4.0
Carrington,5.0
New Zealand High Com,5.0
Walker,5.0
Orr.,5.0
Central Bks,5.0
Smith Richmond,6.0
Leatherhead,6.0
Lewis Garchift,6.0
Lewis Hamley,6.0
Jones Davis,6.0
Lewis Leicester,6.0
Smith Victoria Noun,6.0
Jennes,6.0
Red Lion,6.0
Beales,6.0
Lade,6.0
Meyre,6.0
Milnes,6.0
Librarie,6.0
Myers,6.0
Banes,6.0
Bain,6.0
Scottish C. W. S.,6.0
Over,6.0
Sasctin,6.0
Oxford Book,6.0
Rupa,6.0
Pile,6.0
Power,6.0
Poynes,6.0
Preece,6.0
Progressive Bookshop,6.0
Pultency,6.0
Ramsdens,6.0
Seeley,6.0
Smith Earls Ct.,6.0
Mucha,6.0
Modern Books,6.0
Book Room Newcastle,6.0
Lodge v. Heightool,6.0
MacLeod,6.0
Smith Chester,6.0
Mahadivan,6.0
Sketchley,6.0
McGott,6.0
McGregor,6.0
McLeod,6.0
Mediel,6.0
