Purchaser,Copies Ordered
Mrs. N ,1.0
Mrs Keynes,1.0
Mrs Arnold-Forster,1.0
Miss Norman ,1.0
"Menzies, E'bro [Edinburgh]",1.0
Marlboro[ugh],1.0
Jackson,1.0
Woolston Bk Co.,1.0
"J. Menzies, G'gow [Glasgow]",1.0
J. Clark,1.0
Ind.  Christian F'ship [FeLLowship],1.0
Hodges & Figgis,1.0
Glaisher,1.0
George & Basson ,1.0
Galloway & Porter,1.0
Fountain Press,1.0
Eason,1.0
Non-Such Press,1.0
Constable,1.0
Quaritch ,1.0
Redway,1.0
Woolston,1.0
Wilson,1.0
White,1.0
Whitby,1.0
Welcome,1.0
Weedon,1.0
Watkins,1.0
Ward & Yates,1.0
W. Dawson,1.0
Swets & Zeitlinger,1.0
Stevens & Brown,1.0
Star Pub 9 Co,1.0
Star Pub 9 ,1.0
Savage,1.0
S. P. Bookstall,1.0
S. Kiek ,1.0
Rees,1.0
Rama Krishna,1.0
Combridge,1.0
Woolston Bks,1.0
Army Export,1.0
Cantral Educ [Education] Co.,1.0
Baker,1.0
Butten ,1.0
Bahin ,1.0
Broadway,1.0
C. H. Barber,1.0
Aldam ,1.0
Cazenove,1.0
A. Brown,1.0
Army & Navy,1.0
L. C. C.,2.0
Jolen ,2.0
Lit. Bkshop,2.0
Marlborough,2.0
Menzies,2.0
"Menzies, G'gow [Glasgow]",2.0
Jarrold,2.0
Chelsea Bk [Club],2.0
Backus,2.0
Selfridge,2.0
Sesame Shop,2.0
Au. Lib. Italiana,2.0
Star Publishing,2.0
Star Publishing Co,2.0
Students',2.0
Sweeter ,2.0
A. Brunton,2.0
"A. Brown, Hull",2.0
"J. Menzies, E'bro [Edinburgh]",2.0
British Drama,2.0
J.C.F. ,2.0
"Cornish, B'ham [Birmingham]",2.0
Davis & Oliver,2.0
GaLLway B'shop,2.0
H. Rees,2.0
Grayson & Burnett,2.0
Fridge ,2.0
"Cooper, Bournemouth",2.0
Duckworth,2.0
Cornish Bros.,2.0
"Grants, G'gow [Glasgow]",2.0
Kundig ,3.0
Currard ,3.0
George Newns,3.0
B. Seeber ,3.0
Mowbray,3.0
Medici,3.0
Bell,3.0
Miss Ritchie,3.0
Poetry Shop,3.0
Kundig,3.0
Satchell,3.0
K'Gregor ,3.0
Stevens & Brown (2 retd.),3.0
Chelsea Book Club,3.0
"Combridge, B'ham [Birmingham]",3.0
A. Wheaton,3.0
Heinemann,3.0
Cartwright,3.0
Parker,3.0
Opdenberg,3.0
J. E. Cornish,3.0
Strand,3.0
"Boots, Manchester",3.0
"Grants, E'bro [Edinburgh]",3.0
Hugh Rees,3.0
Vanda B'shop,4.0
Beauchamp Bk Co.,4.0
Stoneham,4.0
W. Mullan ,4.0
S dine Lib,4.0
Low's Export,4.0
Students Bookshop,5.0
"J. E. Cornish, M'chester [Manchester]",6.0
Brentano,6.0
W. C. Henderson,6.0
Dulan,6.0
Brentano's,6.0
Galgnani,6.0
"W. H. Smith, Paris",6.0
Beauchamp,6.0
"W. H. Smith, Bhm. [Birmingham?]",6.0
Henry Young,6.0
Chelsea Bk Co,6.0
Aki Shoten,6.0
Webberley,6.0
Book Hunters,6.0
Hockliffe,6.0
Cleaver,6.0
Sloane B'shop,7.0
Gordon & Gotch,8.0
"Truslove, Oxford St.",8.0
Cornish,8.0
Ward,9.0
"Boots, N'ham ",9.0
Shakespeare,10.0
K. C. C.,10.0
Mawson Swan,11.0
Bowes & Bowes,12.0
A. Zwemmer,12.0
H. Young,12.0
Deighton Bell,12.0
Robertson & Mullens,12.0
Book Soc. [Society],12.0
Book Socy. [Society],12.0
Bickers,12.0
"Truslove, Clifford St.",13.0
Birrell & Garnett,15.0
Heffer,15.0
Mudies Lib. [Library],18.0
"Truslove, C'ford [Clifford] St.",18.0
Book Society,18.0
Philip Son & Nep. [Nephew],18.0
F. J. Ward,22.0
W. Jackson,23.0
"Truslove, Sloane St.",24.0
Army & Navy Stores,24.0
Whitcomb[e & Tombs],24.0
"W. H. Smith, Kensington",24.0
Times Bk,25.0
Goulden & Curry,28.0
Lamley,30.0
Sherratt & Hughes,34.0
A. & N. [Army & Navy] Stores,36.0
Blackwell,36.0
Douglas & Foulis,44.0
Harrods,50.0
Times Book,50.0
Times,52.0
Hatchards,64.0
Simpkins,101.0
Mudies,146.0
Times Bk Co,175.0
Boots,214.0
Bumpus,300.0
W. H. Smith,329.0
Simpkin,451.0
