Purchaser,Copies Ordered
Poetry Bookshop,1.0
Phoenix,1.0
"Philip, Son & Nephew",1.0
Dr. Winicott,1.0
Dulan,1.0
Dy. Telegraph,1.0
Petersfield,1.0
P. S. King & Staples,1.0
Eastern Shipping Co,1.0
Oxland Educational,1.0
Flaxman,1.0
Edgar Backus,1.0
Denny Strand,1.0
Eland,1.0
Englishes Seminar,1.0
Escort,1.0
Oxford Book & Stat Delhi,1.0
Oxford Book,1.0
F. J. Ward Brighton,1.0
Nutt,1.0
Nicholson,1.0
New Book Co.,1.0
Educational,1.0
Progressive Bookshop,1.0
Pulteney Bookshop,1.0
Nelson,1.0
Cleverdon,1.0
Collets,1.0
Shathmore from O. S.,1.0
Sharr,1.0
Selfridges,1.0
Combridge  ,1.0
Saxton from OS,1.0
Combridge Birmingham,1.0
"Combridge, Birmingham",1.0
Ryerson Press,1.0
Pulteney,1.0
Continental Publishers,1.0
Robertson & M,1.0
Curtis Brown,1.0
Robbers,1.0
Review,1.0
Red Lion,1.0
Day's Library,1.0
Read's Stores,1.0
Rama Krishna,1.0
Raine,1.0
Queensland Bk Depot,1.0
Rowlatt & Moore,1.0
Nat. Socy,1.0
Nat. Soc. Westminister,1.0
Foyle's as of 11/27/33,1.0
Lade,1.0
Zinnia,1.0
Kingsgate,1.0
Hickmatt & Co,1.0
"Hijman, Stenfert & Kroese",1.0
Kent County Supplies,1.0
Hockliffe,1.0
Kent C. C.,1.0
K. C. C. ,1.0
Hope,1.0
Lauffer,1.0
Horace Marshall,1.0
Hordern,1.0
Host,1.0
John Wylie,1.0
Hundall & Johnson,1.0
India Bkshop,1.0
Inl. University Booksellers,1.0
John Orr,1.0
Int. Univ. Bkseller,1.0
J. B. Robbers,1.0
John Bumpus,1.0
Horace Marshall C. O. D.,1.0
Leecthamhead,1.0
Hachette,1.0
H. M. Stat Office,1.0
Nat. Lib. Club,1.0
Foyles (Pub Lib),1.0
Myers Emporium,1.0
Mudies,1.0
Fraser,1.0
Freeman,1.0
Mrs. Nicolson (Curtis Brown),1.0
G. Phillips,1.0
Galignani Library,1.0
Galloway & Porter,1.0
George Harding,1.0
Mortons,1.0
Modern Reader from OS,1.0
Miss West,1.0
Good Companions,1.0
Millard Gill,1.0
Meredith,1.0
Menzies (Edinburgh),1.0
McGregor,1.0
H. Cleaver,1.0
Marshall,1.0
H. M. Gilbert ,1.0
H. M. Gilbert (appro),1.0
Sketchley,1.0
Slincheim,1.0
S. Africa H. Com.,1.0
W. H. Smith (Berkhamsted),1.0
Better Books Burgess Lib,1.0
Bickers,1.0
Biddles,1.0
Birrell & Garnett,1.0
W. H. Smith (Leteworth),1.0
Bishop & Hamilton,1.0
Bisset,1.0
W. H. Smith (Camberley),1.0
Blunt,1.0
Bermuda Bk Store,1.0
Christian Lit. Socy.,1.0
W. H. Smith (Beaconsfield),1.0
W. E. A. Sydney,1.0
W & R. Holmes,1.0
W & R Holmes ,1.0
Bookhunters,1.0
Vandon,1.0
Vail,1.0
Tyndale's,1.0
"Truslove, Clifford St.",1.0
Book Club Crew,1.0
W. H. Smith (Wokinghom),1.0
W. H. Smith Eastbourne,1.0
"W. H. Smith, Ealing",1.0
Yorkshire Ev. Post,1.0
A. Brown,1.0
Wm. Pile,1.0
Allen & Unwin,1.0
Wm. Brown,1.0
Angus S. A.,1.0
Archer from OS.,1.0
Argosy & Sundial,1.0
Argus S. A.,1.0
Argus South African,1.0
Wells,1.0
Askew,1.0
Australian Buying,1.0
Welb & Co,1.0
Ward and Yates,1.0
"Barber, C. H.",1.0
Bardsley,1.0
W. R. Holmes,1.0
Beauchamp,1.0
Beaumont,1.0
Beigson,1.0
Truslove Oxford St,1.0
Tovey,1.0
J. Darter,1.0
Topic,1.0
Smith Sloane,1.0
Spottiswoods,1.0
Smith Windsor,1.0
Standage,1.0
Stapleton,1.0
Burgess ,1.0
Bramwell,1.0
Stent Clarke,1.0
Bucklands,1.0
Buckland,1.0
Central Ed. Co.,1.0
Butler,1.0
"Smith, Richmond",1.0
Stonewall Jackson,1.0
Bruce W. J.,1.0
Swets & Zeitlinger,1.0
Chelsea,1.0
Times Book Club,1.0
Theatre Bookshop,1.0
Busck,1.0
Bridger,1.0
Surridge Dawson,1.0
Cargills,1.0
Chaplins Library,1.0
Burtons,1.0
Smith Earls Ct.,1.0
Chaucer Lib,1.0
Lomesc,2.0
Levin & Munksgaard,2.0
Lamley & Co. ,2.0
Watkins,2.0
Leroy,2.0
Wards Bookshop,2.0
Smith Kensington,2.0
Whitby,2.0
Smith Kingsway,2.0
Whitcombe & Tombs (N. Z.),2.0
S. P. C. K.,2.0
Jones Davis,2.0
M. Cashin,2.0
Williams M.,2.0
Smith Guildford,2.0
"Wilson, Vic. Sr.",2.0
Wm. Jackson,2.0
Smith Chiltern,2.0
Woolston Book Co,2.0
Wylie,2.0
"Jackson, Wylie",2.0
Macgregor,2.0
"Mawson, Swan",2.0
Rowlatt & Moore ,2.0
Trout from O. S.,2.0
Tyndale,2.0
Opdenberg,2.0
The Common Reader,2.0
Philip Son & Nephew,2.0
Vaughans,2.0
Thacker,2.0
Tamwon,2.0
T. Bromley,2.0
Pp.,2.0
Stevens & Brown,2.0
Stechert,2.0
Mrs. Nicolson (@ Brown),2.0
Mrs. Macgregor,2.0
Mowbray,2.0
W. H. Smith (Newbury),2.0
Red Lion  ,2.0
"Smith, Sloane",2.0
Miss Sterling,2.0
Miss Belsher,2.0
"W. H. Smith, Shetheld",2.0
Roberto,2.0
Meloch Bros,2.0
McKinlay,2.0
Smith York,2.0
Mawson Swan & Morgan,2.0
Roberts,2.0
Marsh,2.0
Walker Leeds,2.0
Ward & Yates,2.0
Slatin & Rose,2.0
L. C. C.,2.0
Gallery,2.0
Arthur Rogers,2.0
B. A. Harrods,2.0
Harrison,2.0
Bucks Library,2.0
B. H. Blackwell,2.0
Harpers,2.0
Baker,2.0
Euro Am Bk Dep,2.0
Bennet,2.0
Franceska,2.0
Breirley,2.0
Denny Qu Vi cSt.,2.0
Brentanos,2.0
Barker,2.0
Hall,2.0
Brezly,2.0
Broadbents,2.0
Dennys Qu Vic St,2.0
Dickinson,2.0
Broadbeats,2.0
Grants Glasgow,2.0
Bell,2.0
Argus S. A. Newspp.,2.0
Henderson (st. Andrews),2.0
Bo Hollingsworth Central,2.0
Challenge,2.0
A. B. Ward,2.0
Collets Glasgow,2.0
Cazenove,2.0
Gordon Franser,2.0
Adams & Rees,2.0
Bookshop,2.0
Henderson W. C.,2.0
Andrews,2.0
Burrows,2.0
Goulden,2.0
Daily News,2.0
Book Society,2.0
Fowler,2.0
Fielder,2.0
Heywood Hill,2.0
Hill & Churchill,2.0
Francesca,3.0
E. L. Bell,3.0
Napoleon,3.0
Ferguson & Osborne,3.0
"Truslove, Clifford St",3.0
"Truslove, Oxford St",3.0
Boots (Pelham St),3.0
Ferguson & Osborn,3.0
Naville & Cie.,3.0
Bourne & Hollingsworth,3.0
Philip,3.0
George's W & Sons,3.0
Taraporevala,3.0
Sloane,3.0
Sherratt,3.0
Smith Oxford,3.0
Smith Paris,3.0
Cara A. Barreiro,3.0
C. S. S. A.,3.0
Burton,3.0
"Smith, Strand Ho",3.0
Socialist Bookshop,3.0
Cornish Birm,3.0
Brierley,3.0
Cornish Man,3.0
David Nuld,3.0
Burlington,3.0
Burgis & Colbourne,3.0
Dayles & F,3.0
Stoneham,3.0
R. Thomas,3.0
Strathmore Bookshop,3.0
Denny Qu Vic St.,3.0
Stuttaford,3.0
"Philip, G",3.0
Burns,3.0
R. L. Allan,3.0
Sisson & Parker,3.0
George's Sons,3.0
Longmans,3.0
Bellhouse,3.0
Grants (Glasgow),3.0
Mawson Swan,3.0
Jones & Evans,3.0
Wilding,3.0
H. J. Goulden,3.0
W. H. Smith Sloane Sq,3.0
W. M. Jackson,3.0
Ward,3.0
Lupton,3.0
"Truslove, Sloane St.",3.0
Bankers,3.0
Banker,3.0
Longmans Firm,3.0
Whiteleys,3.0
Hodges & Figgis,3.0
Grant,3.0
"W. H. Smith, B'ham",3.0
Webberley,3.0
Gibson,3.0
Vanguard,3.0
"Jardine, Ltd",3.0
Menzies Edinburgh,3.0
Jarrold,3.0
Vaughan,3.0
Jenners,3.0
(Juta jlo Ltd) Walkers,3.0
Midland,3.0
W. H. Smith (Ealing),3.0
"Young, H",3.0
Birrell from OS.,3.0
Bentalls,3.0
Innes,3.0
Glaisher Hollow,3.0
Boots (Cambridge),3.0
Wheaton,4.0
Common Reader,4.0
Hollingsworth & Matthew,4.0
Willshaw,4.0
Wm. Georges,4.0
Combridge B'ham,4.0
Central  ,4.0
K. C. C.,4.0
Combridge (B'ham),4.0
Bryce,4.0
Freemans,4.0
Truslove Sloane St,4.0
Green Frog,4.0
T. Adams,4.0
W. J. Bryce,4.0
Ferguson,4.0
Pied Piper,4.0
Denny Shand,4.0
Brooker & Sarille,5.0
Longmans Canada,5.0
Saxton,5.0
