Purchaser,Copies Ordered
Grolier,1.0
Grolier Socy,1.0
Groliers Socy,1.0
Grolin St,1.0
Parker Oxford,1.0
H. Young,1.0
H. Young & Sons,1.0
P & G Wells Godalning,1.0
Harrods,1.0
Hatchette,1.0
Health Centre,1.0
"Oxford Bk Co, Simla",1.0
Henderson,1.0
Hersaint,1.0
Paul's Bk Arcade,1.0
Grants G'gow,1.0
Penton Co,1.0
Ginn,1.0
Riding,1.0
Eland,1.0
Rees,1.0
Ramden's Lib,1.0
Ramchandra,1.0
Probsthian,1.0
Private Person,1.0
French B'shop,1.0
"Poetry Shop, Hull",1.0
G. Over,1.0
Poetry B'shop,1.0
Galloway & Porter,1.0
Geo. House,1.0
George & Barron,1.0
Philip Son & Nephew,1.0
Heywood,1.0
Hodges Figgis,1.0
Holmes G'gow,1.0
Eason,1.0
John Clark,1.0
Johnson Head,1.0
Miss Teenes,1.0
Knult,1.0
L. C. C.,1.0
Lippincott,1.0
London & Foreign Bk Co,1.0
London Mission Press,1.0
"Menzies, Glasgow",1.0
Lows,1.0
Lows Export,1.0
Lupton,1.0
McGregor,1.0
M. Williams,1.0
Maglione,1.0
Jas. Smith,1.0
Over,1.0
Mrs. Nicolson,1.0
Jackson Wylie,1.0
"Holmes, Glasgow",1.0
Omnia,1.0
J. Bain,1.0
J. Baker & post,1.0
Nordiska Kompaniet,1.0
Nijhoff,1.0
J. Edwards,1.0
Nicolson,1.0
New Zealand Gov,1.0
from O/S Milne,1.0
Muller,1.0
"J. Smith, G'gow",1.0
J. Thornton & Sons,1.0
J. Walsh,1.0
Mudies Lib,1.0
Jackson Wyllie,1.0
Marlboro,1.0
E. S. Fowler,1.0
E. G. Allen,1.0
"W & R Holmes, Glasgow",1.0
Book Society,1.0
W & R Holmes,1.0
Van Storkmann,1.0
Boots S. freed,1.0
Bourne Bk Co,1.0
Bligh,1.0
"Truslove, Sloane St.",1.0
Brown (Hull),1.0
Brunton,1.0
Truslove,1.0
Trevor,1.0
Topic,1.0
C. H. Barber,1.0
Truslove Clifford St.,1.0
C. M. S. Alexandria,1.0
W. Dawson,1.0
Bickers Ltd,1.0
Woolston,1.0
A. Brown,1.0
Allan Lockhart,1.0
Willshaw,1.0
Will,1.0
Welfare Industries,1.0
W. H. Smith B'ham,1.0
Army & Export,1.0
Ward,1.0
Army Buying & Export,1.0
Asher,1.0
Askew,1.0
W. Muller,1.0
Backus,1.0
Army & Navy Export Buying Agency,1.0
C. M. S. Bookshop,1.0
C. H. Barker,1.0
Cambridge Mag Bk Shop,1.0
C. Martin,1.0
"Smith, Paris",1.0
Cornish Holborn,1.0
D. Nutt,1.0
Sloane Bkshop,1.0
Davenant,1.0
Commerical Press,1.0
Davenant Bookshop,1.0
Deighton Bell,1.0
Sesame,1.0
Schwartz,1.0
Royle & Willan,1.0
Douglas Davidson,1.0
Dulan,1.0
Sifton Praed,1.0
Sotheran,1.0
Cope & Fenwick,1.0
Central Education Co,1.0
"Cen Educ Co, Derby",1.0
"Cen. Educ, Derby",1.0
Central Educ Co,1.0
Charles Wadley,1.0
Chaundy,1.0
Chivers,1.0
Maruzen Ltd,1.0
Stoneham,1.0
Christian Lit Socy,1.0
Sundial Lib,1.0
Students Bookshop,1.0
W. H. Smith Paris,2.0
Tanner,2.0
Robbers,2.0
"Oxford Bx Co, Simla",2.0
Times,2.0
Pym & Chapman,2.0
W. H. Smith Str. Ho.,2.0
Ward F. J.,2.0
Stechert,2.0
Sloane Bookshop,2.0
Truslove & Hanson,2.0
Shakespeare,2.0
Penny & Co,2.0
"J. Menzies, G'gow",2.0
E. H. Jackson,2.0
C. Chivers,2.0
Fritze,2.0
Burtons,2.0
Hugh Rees,2.0
Burgersdijk & Neirman,2.0
"Combridge, New St.",2.0
Cornish,2.0
Grants Glasgow,2.0
