Purchaser,Copies Ordered
Combridge (B'ham),1.0
New Bk Co,1.0
Common Reader from OS.,1.0
Myer Emporium,1.0
Myer,1.0
Mrs. Woolf,1.0
Miss Wilkinson,1.0
Mortons,1.0
David Nutt,1.0
Dawson Paris,1.0
Colusco,1.0
Dawson fr OS.,1.0
Meredith,1.0
Cowie & Co ,1.0
"Collets, Glasgow",1.0
Chaucer Library,1.0
Cobden Sanderson,1.0
Clark & Satchell,1.0
Chives,1.0
Oxford U. Press,1.0
Mason,1.0
Chaucer Head Bookshop,1.0
Centralbokhandeler,1.0
Central Ed Derby,1.0
P. S. King,1.0
Cazenove,1.0
Paul's Book Arcade,1.0
Pembrey,1.0
Busck,1.0
Pied Piper,1.0
Nutt,1.0
Maggs,1.0
Doubleday Dorian (see Mrs. Nicolson's alc),1.0
L. H. Barron,1.0
Green Box,1.0
Garlick Ltd.,1.0
Gallery Bkshop,1.0
Galignani Library,1.0
Greene,1.0
H. Menzies,1.0
Harcourt Brace,1.0
Himdall & Johnson,1.0
French Bookstore,1.0
Hodges Figgis,1.0
Hollinger,1.0
J. Clark,1.0
James Smith,1.0
Foy & Gibson ,1.0
Levy Cosmopolitan Lib,1.0
Foreign Mission Office,1.0
John Clark,1.0
John E. Lee,1.0
Eland,1.0
John Orr,1.0
Jones Lady,1.0
Jung,1.0
Kamala,1.0
E. G. Allen,1.0
Katinka,1.0
Kirjakauppa,1.0
Rama Krishna,1.0
Doubleday Doran (London),1.0
Digby,1.0
Didier,1.0
Everett,1.0
Bright Miss E.,1.0
Buick,1.0
Richman Square,1.0
United Africa,1.0
Birrell from OS.,1.0
Birrell,1.0
Stapleton,1.0
Stevens and Brown,1.0
Sthrathmore,1.0
W. R. Holmes ,1.0
Strathmore Bookshop,1.0
Beaumont,1.0
Students,1.0
Sunday Times,1.0
W. H. Smith & Sons,1.0
Smith Leeds (Lib),1.0
Surridge Dawson,1.0
Barber,1.0
Tamim,1.0
Thames,1.0
The Book Room (Newcastle),1.0
Avery,1.0
Aus Com,1.0
Vaughans,1.0
Thomson,1.0
Askew,1.0
Vaughan's from OS.,1.0
Army Export,1.0
Treves Caldini,1.0
W. F. Henderson,1.0
Sipmkin,1.0
W. Wilson,1.0
Simpkins ,1.0
Woolston from OS.,1.0
(John Clark) Heffer,1.0
Woolston Book Co,1.0
Abbey Bookshop,1.0
Woods,1.0
Wilson A.,1.0
Royle & Willan,1.0
Boriswood,1.0
Boots (Pelham St.),1.0
S. T. Eschibilion,1.0
Sanders,1.0
Seed & Gabbutt,1.0
Wells & Co,1.0
Army,1.0
Shathmore,1.0
Book Socy,1.0
Bolton's Library,1.0
Sequana,1.0
Shakespeare & Co.,1.0
Book Club,1.0
Ward & Yates from OS.,1.0
Bookfunders from OS.,1.0
Book Finders,1.0
Allen. E. G. ,1.0
Alpha Library,1.0
Ward,1.0
Jameson,2.0
Hockliffe from OS.,2.0
Victorian Rlip.,2.0
Hudson,2.0
W. H. Smith Maidstone,2.0
Jarrold (Cambridge),2.0
Meulenhoff from OS.,2.0
Kundig,2.0
Putnams,2.0
Probsthrain,2.0
Gray,2.0
Potter,2.0
Pither,2.0
Rogers,2.0
Selfridge from OS.,2.0
Oxford Bk Sinila,2.0
Oxford Bk Meerut,2.0
Oxford Bk Lahore,2.0
Owen,2.0
Oldham Beddouce,2.0
Next: Jewish Fund,2.0
Naville & Co from OS,2.0
Stoneham,2.0
Midland B'ham,2.0
Richardson,2.0
McGrath,2.0
Sutherland,2.0
Swift,2.0
Libreria Bocca,2.0
Times Book Club,2.0
Grant & Clark,2.0
Zwemmer from OS.,2.0
Bentalls,2.0
Foyles from OS.,2.0
Edwin Story,2.0
Davenant,2.0
B. H. Blackwell,2.0
Brierley,2.0
Brooker & Saville,2.0
Argosy Library (Liverpool),2.0
"Combridge Hove, from OS.",2.0
Baker,2.0
Bookhunters,2.0
Coates & Bainston,2.0
Glaisher,2.0
Cleaver,2.0
Evans,2.0
Gibson,2.0
Eason,2.0
Lade,3.0
Sisson & Parker,3.0
Smith Chiltern Ct.,3.0
Smith Kensington,3.0
Bk Room,3.0
Smith Leeds,3.0
Lib International,3.0
Birchall,3.0
Chelsea,3.0
Denny,3.0
Lothian,3.0
Socialist,3.0
Jenner,3.0
Booklovers,3.0
C. Wilson,3.0
Philip Son,3.0
Clowes,3.0
Phillipson,3.0
Collets,3.0
Nordiska Kompaniet,3.0
Princes,3.0
Myers,3.0
Progressive,3.0
Cuthbertson Austab Library,3.0
Miller,3.0
Midland Leicester,3.0
Robbers,3.0
Breakaus,3.0
Sawyer,3.0
Marshall,3.0
Sach,3.0
Dicks,3.0
Franceska,3.0
Harraden,3.0
G. H. Bennett,3.0
W. H. Smith (Kensington),3.0
Friends Book Centre,3.0
(Brights) Banks,3.0
The Galignani Library,3.0
Green Frog,3.0
"Truslove, Clifford",3.0
Barker,3.0
Grants,3.0
Swain,3.0
Harris,4.0
Rota,4.0
Euro American Agency,4.0
Hollingsworth & Matthew,4.0
Saxton,4.0
Aki Shoten,4.0
Webber,4.0
Book Lovers Pertt,4.0
G. M.'s Book Shop,4.0
Maruzen,4.0
Tyndale,4.0
Mullam,4.0
Smith B'ham,4.0
Truslove Ox St.,4.0
A & F Denny. Queen Vic.,4.0
Lothian (Melbourne Attencams),4.0
Dulan,4.0
Thacker,4.0
Fletcher,4.0
Spencer & Co,4.0
Hockliffe (Lib),4.0
Rees,5.0
K. C. C.,5.0
Argosy (London),5.0
Lamley,5.0
Stechert,5.0
Argosy Library  ,5.0
Oxford Bk Calcutta,5.0
Oxford Bk Delhi,5.0
Burtons,5.0
Williams,6.0
Bryce,6.0
Young,6.0
Adams & Rees,6.0
Bauermeisler,6.0
R. Grant,6.0
Better Books,6.0
Swoctin,6.0
Spencer Alt,6.0
Bain,6.0
Askew J.,6.0
Asher,6.0
Akateeminen,6.0
Truslove & Hanson (Sloane),6.0
United Bk & Stat,6.0
Beasley,6.0
Robertson,6.0
Rigby,6.0
Ancient House Bkshop,6.0
Webberley,6.0
Sherratt & Hughes,6.0
Parker,6.0
Brown,6.0
Central,6.0
Mawson Swan & Morgan,6.0
Jackson Wylie,6.0
Deighton Bell,6.0
Cornish,6.0
Day's Library,6.0
Cornish Manchester,6.0
Jones & Evans,6.0
Denny Strand,6.0
Griffiths,6.0
Menzies,6.0
George,6.0
J. Clarke,6.0
J. Thin,6.0
Milne,6.0
Scribners,7.0
The Common Reader,7.0
Seafarers,7.0
Meulenhoff,7.0
F. J. Ward,7.0
Ward A. B.,7.0
Cargills,7.0
Ward F. J.,7.0
Zwemmer,7.0
Fritze,8.0
Army & Export,8.0
Heffer,8.0
S. P. C. K.,8.0
W. H. Smith (Paris),8.0
MacNiven & Wallace,8.0
Wilson,8.0
"J. Smith, Glasgow",9.0
Bickers,9.0
Smith Sloane Sq,9.0
Bocca,9.0
Eator,9.0
Marlboro,10.0
Dawsons,10.0
Nicolson Mrs.,10.0
Mrs. Nicolson,10.0
Book Society,11.0
Jardine,11.0
Simpkins Export,12.0
International,12.0
Victory,12.0
Selfridges,12.0
Galignani,12.0
Phillip Son,12.0
Acacia Library,12.0
Winap Library,12.0
Whitcombe Dunedin,12.0
Whitcombe Christchurch,12.0
Whitcombe Auckland,12.0
Serratt & Hughes,12.0
Heywood,12.0
Midland,12.0
Argosy,12.0
Bowes,12.0
Menzies Edinburgh,12.0
Selfridge,12.0
Days,12.0
Hg. Goulden,12.0
Sotheran,12.0
Bermuda Book,13.0
Argosy (Liverpool),15.0
Stevens & Brown,15.0
W. H. Smith from OS.,16.0
Walker Bros,16.0
Cornish B'ham,16.0
Whites,16.0
Goulden & Curry,18.0
Simpkins Overseas,18.0
Smith Glasgow,18.0
Batchelor,18.0
Truslove Sloane,18.0
Times Book Co,19.0
Foyle,19.0
Whitcombe Wellington,20.0
Barron,22.0
Menzies Glasgow,24.0
Army & Navy,24.0
R. Burns,24.0
Angus & Robertson,24.0
"Burns, Oates & Washbourne",24.0
Valley L.,25.0
Roycroft,25.0
Wymans ,25.0
Preece,25.0
Days Library,25.0
Haldeme,25.0
Huckin,25.0
Argosy Library,25.0
Foyle's Library,25.0
Argosy ,30.0
Truslove Clifford,30.0
Brentanos,30.0
Blackwell,31.0
Whites T.,33.0
"Dunlops, Edward",33.0
Simpkin Marshall,33.0
Saluson & Gluckstein,45.0
Chris,50.0
Combridge,53.0
Hatchards,54.0
Holmes,58.0
Lewis,60.0
Edwards,62.0
Douglas & Foulis,62.0
Oppenheim,62.0
Jackson,64.0
Combridge Hove,89.0
Marlborough,100.0
Jackson (America),100.0
Park,100.0
Holt & Jackson,100.0
Times Bk Co,100.0
Ken Bkshop,100.0
Clark,116.0
Gordon & Gotch,120.0
Dawson,131.0
W. H. Smith,150.0
Blunt,151.0
Haldane,162.0
Boots,182.0
Bumpus,184.0
Smith Strand Ho Bk,200.0
Soloway,201.0
Foyles,206.0
Longmans,250.0
J. Askew,250.0
Mudies,267.0
Harrods,272.0
Simpkins,319.0
Simpkin,332.0
Smith Strand Ho Lib,400.0
Hill,400.0
Woolston,404.0
Times,409.0
Longman's Canada,500.0
Longmans (Canada),503.0
Books (Notts),506.0
Smith,511.0
