Purchaser,Copies Ordered
Nonesuch Press,1.0
Freeyman,1.0
Freeman,1.0
Frank Wilmot,1.0
Faber & Faber,1.0
Fortmann & Mason,1.0
F. Mission O. Ch. of Scotland,1.0
Oxford B St Lahore,1.0
Evelyn's Library,1.0
Oxford B St Meerat,1.0
Englisches seminar,1.0
Ellis,1.0
Nyhoff,1.0
Fritze,1.0
G. M. S.,1.0
Elliot Stock,1.0
Glasgow,1.0
"Glaisher, Holbrook",1.0
Mrs. Nicolson,1.0
Mrs. Walter,1.0
Muchin & Gibbs,1.0
Gilardi,1.0
N. Eng. Farm. Co.,1.0
G. Blunt & Sons,1.0
N. Z. Com. Bks Section,1.0
Gee,1.0
Galloway  ,1.0
Galloway,1.0
New York Times,1.0
G. T. Bagguley,1.0
G. Rylands,1.0
Nijhoff,1.0
New Eng.,1.0
Oxford Book & Stat Lahore,1.0
Oxford University Press,1.0
Ed. Supply Ass,1.0
Davenant (see 14),1.0
Daily Mail,1.0
Daily Herald,1.0
D. William,1.0
D. W. Edwards,1.0
"R. Jackson, Leeds",1.0
"Davis, Melbourne",1.0
Rama Krishna,1.0
Robbers,1.0
Comfort,1.0
Combridge (B'ham),1.0
Colensco,1.0
Cn. Africa,1.0
Salloway & Pater,1.0
Richards,1.0
"Pym, Chapman",1.0
Press Exchange,1.0
Presbyterian Bkrm,1.0
Oxford U. P.,1.0
Glover,1.0
P. P. W. A. Robson,1.0
Peace Society,1.0
EG Allen,1.0
Peter Davies,1.0
Philip,1.0
Dr Hominnicotti,1.0
Pickering,1.0
Doubleday Doran,1.0
Poetry  ,1.0
Dennys Qu Vic St,1.0
Denny fr. OS,1.0
Laing,1.0
DeBeena,1.0
Oxford Book & Stat Meust,1.0
Gollanez,1.0
Mrs. Heffer,1.0
Gordon & Gotch ,1.0
MacGregor,1.0
J. Starr,1.0
Manchester,1.0
Matmika Library,1.0
J. H. Clarke,1.0
"J. Grant, Edinburgh",1.0
M. Walton,1.0
Matt,1.0
J. A. Allen (sheets),1.0
J Evans & Son,1.0
J Clark,1.0
Mawson,1.0
International Bk. Service,1.0
Int. Book Service,1.0
Matter,1.0
Jarrold,1.0
M. Trownshire,1.0
Jarrold C'bridge,1.0
Lady M. Howes,1.0
Lady Dilke,1.0
Lauffer,1.0
"L. Nouvelle, Lausanne",1.0
L. N. V.,1.0
Kyle Hetcher,1.0
Kruger,1.0
King,1.0
Kimpton Public L,1.0
Kent & Richards,1.0
Lib. Anonima Firenze,1.0
Jones & Evan,1.0
Longnams,1.0
Jewish Chronicle,1.0
Jarrold Yarmonk,1.0
Industrial Welfare,1.0
Holmes,1.0
Miss Alexander Ideal Library,1.0
Miss Dryden,1.0
Mr. A. Davidson,1.0
Greymore Press,1.0
Gregymog,1.0
Mr. El. Delattne,1.0
Green & Co.,1.0
Gratton,1.0
Mr. Kennedy,1.0
Grants Glasgow,1.0
Mr. Rylands,1.0
Mrs Smith,1.0
Grant Richards,1.0
Mrs. A. D. Saugen,1.0
Gordon & Munro,1.0
Clarke (see 145),1.0
Mrs. Henderson,1.0
Grolier,1.0
Mrs. Mc Larsen,1.0
H. Clarke,1.0
Hanna,1.0
Miss Elnes,1.0
Heyetta,1.0
Henderson WF,1.0
Miss Hoyt Porter,1.0
Head,1.0
Hassassowitz,1.0
Hartley Seed,1.0
Miss Ritchie,1.0
Miss Robins,1.0
Miss Strachan,1.0
Miss Stratchan,1.0
Moores,1.0
Mortons,1.0
Harrays,1.0
Harraden,1.0
Hall,1.0
Schmitzles,1.0
Landy Dilke,1.0
Clark (443 OBSC/CA),1.0
Broadbent,1.0
Walton,1.0
Broadway Book Room,1.0
B.B.C.,1.0
Brodie,1.0
Ward ,1.0
Brooker & Saville,1.0
Avery,1.0
Austens,1.0
Speight,1.0
British Drama League,1.0
"Brown, Hill",1.0
"Smith, Sheffield",1.0
Treves Treccami,1.0
Bryant & Rackshaw,1.0
Bryce,1.0
Buckland,1.0
Smith (Farmes),1.0
Burma,1.0
Army Export,1.0
Army & Navy  ,1.0
Small BKshop,1.0
Soudin,1.0
Swain,1.0
Bailliere,1.0
Sweeten,1.0
United Africa,1.0
Berger,1.0
Book Co,1.0
Benny,1.0
Treves T. T.,1.0
Treves,1.0
Theosophical,1.0
Thathmore,1.0
Thames Bookshop (1644),1.0
V. W. ,1.0
Vaughans from OS,1.0
Books (1930),1.0
T.P. Hillir,1.0
T. V. Bell,1.0
Boots (Douglas),1.0
W. E. Harrison,1.0
W. H. Everitt,1.0
Batsford,1.0
Boots Sheffield,1.0
Barron,1.0
Botolph Printing Co,1.0
Boys & Girls House,1.0
Baker Clifton,1.0
Butterworth,1.0
Watts,1.0
Smith Chiltern Cb.,1.0
Anglo-Egyptian Bkshop,1.0
Service Adventshop,1.0
Allen,1.0
Central Rd. Derby,1.0
Anonima Libraria Italiana,1.0
Wilding,1.0
Allen & Unwin,1.0
Wymans,1.0
Anonima Lib,1.0
Angus & Robertson,1.0
Central Ed. Co.,1.0
Circulating Lib,1.0
Whitby & Sons,1.0
Williamson & Sons,1.0
A. T. Davies,1.0
Chives,1.0
Seeber,1.0
Simpkin ,1.0
Anglo Egyptian Bkshop,1.0
C. W. S.,1.0
pp,1.0
A. H. S. Woolf,1.0
Cazenova,1.0
An Libraria Italiana,1.0
A. P. Watt,1.0
Argus S. A. Newspp,1.0
Schotts,1.0
Wellington Journal,1.0
Westmount,1.0
A. Lockhart,1.0
Allan's,2.0
John Read,2.0
Lewis's,2.0
Army & Export,2.0
