Purchaser,Copies Ordered
Leviadshaw Ltd.,1.0
Lehmann,1.0
Lanis ,1.0
Lady Dilke,1.0
Lady Cecil,1.0
L. & M. Mercury,1.0
Kundig,1.0
John Orr,1.0
Kegan Paul,1.0
Johnson Head,1.0
Lewis,1.0
"John Menzies, Glasgow",1.0
"John Menzies, Edinburgh",1.0
John Clark (see 961 & 307),1.0
Jarrolds,1.0
Kent & Richards,1.0
Lib.: Egyptian Univ.,1.0
M'Leod,1.0
Lit. Book Co.,1.0
Methodist Book [Depot],1.0
"Menzies, Glasgow",1.0
"Menzies, E'bro [Edinburgh]",1.0
Menzies G'gow [Glasgow],1.0
Menzies,1.0
"Mawson, Swan & Morgan (see 134)",1.0
Maruzen ,1.0
Maruzen,1.0
Marngar  Co.,1.0
MacNiven & Wallace,1.0
MacGregor,1.0
M. Friederar (trans to 5/- [U.E.]),1.0
M'Leod ,1.0
Jarrold & Son,1.0
Lord Ivor Churchill (pp),1.0
Librairie Kundig ,1.0
Jarrold,1.0
J. S. Pennbury ,1.0
J. W. Anderson,1.0
H. Woolf,1.0
H. Walker,1.0
Greene & Co.,1.0
Goldstoi ,1.0
"Gilbert, S'hampton [Southampton]",1.0
Gerald Howe Ltd.,1.0
Georgian B'shop,1.0
Geo. [George] Duckworth,1.0
Geheshomer  & Wolff,1.0
Garlick,1.0
Galloway & Porter ,1.0
Galignani Lib. [Library],1.0
G. Rylands,1.0
G. P. Putnam,1.0
G. E. Ebechere ,1.0
Hanna,1.0
Hanson,1.0
Harper Bros.,1.0
Harraden ,1.0
"hus , Jowitt (pp)",1.0
Meulenhoff  V Co.,1.0
"J. Menzies, Glasgow",1.0
"J. Menzies, G'gow [Glasgow]",1.0
J. Menzies,1.0
J. M. Keynes,1.0
J. M. Dent,1.0
J. W. Preece,1.0
"J. Grant, Edinburgh",1.0
"Holmes, G'gow [Glasgow]",1.0
Holmes G'gow [Glasgow],1.0
Hessant (transferred to U.E. [Uniform Edition]),1.0
Henry March Gilbert & Son  ,1.0
Henry George,1.0
Hasei & Sons,1.0
"Harvey, Greenacre",1.0
Hosburn's Library,1.0
"Midlands Educ. Co., Leicester",1.0
Miss Sands,1.0
Miss Mirrlees,1.0
Titus,1.0
Times Bookclub,1.0
Times Bk. [Book] Club,1.0
